epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,7169.92,0.11922,1.12614,0.89767,0.57353,0.78931,0.70938,0.63552,0.20325,1.02827,1.12125,0.002872,0.002872,0.002872
74,7270.13,0.12143,1.1213,0.89493,0.5714,0.79671,0.71028,0.65188,0.20348,1.01721,1.12134,0.002773,0.002773,0.002773
75,7370.31,0.11822,1.10874,0.89528,0.57532,0.79997,0.7133,0.66413,0.20118,1.00099,1.11791,0.002674,0.002674,0.002674
76,7470.95,0.11932,1.10876,0.89802,0.59045,0.7837,0.71343,0.67319,0.19802,0.99325,1.11496,0.002575,0.002575,0.002575
77,7572.84,0.11302,1.12734,0.89344,0.5909,0.78675,0.71199,0.6835,0.19721,0.99109,1.11511,0.002476,0.002476,0.002476
78,7674.39,0.11216,1.11719,0.8934,0.58173,0.79204,0.71128,0.68413,0.1992,0.99536,1.11642,0.002377,0.002377,0.002377
79,7775.23,0.11315,1.10548,0.898,0.58047,0.79609,0.7108,0.67199,0.20288,1.00078,1.11827,0.002278,0.002278,0.002278
80,7876.57,0.11277,1.10243,0.8965,0.58198,0.79345,0.71366,0.66991,0.20519,1.00173,1.12153,0.002179,0.002179,0.002179
81,7977.36,0.1094,1.10353,0.89565,0.58472,0.80932,0.7177,0.6657,0.20831,0.99769,1.12696,0.00208,0.00208,0.00208
82,8077.6,0.1093,1.10486,0.89742,0.57829,0.81112,0.71957,0.67519,0.20949,0.99551,1.12793,0.001981,0.001981,0.001981
83,8177.99,0.10759,1.10031,0.8947,0.57848,0.80667,0.72381,0.6792,0.21344,0.99743,1.13011,0.001882,0.001882,0.001882
84,8279.62,0.10338,1.09515,0.89461,0.58326,0.81197,0.72703,0.68278,0.2183,0.99905,1.13848,0.001783,0.001783,0.001783
85,8380.65,0.105,1.08868,0.89699,0.60635,0.79002,0.7324,0.68693,0.22122,0.99898,1.14332,0.001684,0.001684,0.001684
86,8480.97,0.10244,1.09457,0.89081,0.60622,0.79267,0.73621,0.68348,0.22357,0.99694,1.14582,0.001585,0.001585,0.001585
87,8581.82,0.10597,1.08363,0.89281,0.60657,0.79762,0.73933,0.6821,0.22831,0.99391,1.15219,0.001486,0.001486,0.001486
88,8682.08,0.1035,1.08057,0.89017,0.6107,0.8006,0.74152,0.68329,0.23346,0.99394,1.15778,0.001387,0.001387,0.001387
89,8783.07,0.10048,1.07833,0.8917,0.61274,0.80055,0.74343,0.68731,0.23537,0.99555,1.16159,0.001288,0.001288,0.001288
90,8882.88,0.10022,1.07266,0.89007,0.60988,0.80299,0.74501,0.68386,0.23655,0.99336,1.16192,0.001189,0.001189,0.001189
91,9019.35,0.06264,1.2555,0.90507,0.61005,0.80325,0.74602,0.68781,0.23394,0.98852,1.15662,0.00109,0.00109,0.00109
92,9119.21,0.04216,1.1698,0.89722,0.60832,0.80179,0.74807,0.69417,0.2307,0.9831,1.15105,0.000991,0.000991,0.000991
93,9220.05,0.04074,1.21654,0.88441,0.60918,0.80068,0.7483,0.70419,0.2283,0.97732,1.14716,0.000892,0.000892,0.000892
94,9319.73,0.03982,1.26691,0.88289,0.60725,0.80325,0.74987,0.70966,0.22466,0.974,1.14298,0.000793,0.000793,0.000793
95,9418.47,0.03777,1.25138,0.87764,0.60883,0.80233,0.75232,0.72027,0.21922,0.97175,1.13795,0.000694,0.000694,0.000694
96,9519,0.03605,1.17615,0.8885,0.60911,0.79806,0.75417,0.72576,0.21489,0.96827,1.13319,0.000595,0.000595,0.000595
97,9618.28,0.03554,1.15893,0.89099,0.61326,0.79787,0.75535,0.73027,0.21096,0.96427,1.12847,0.000496,0.000496,0.000496
98,9718.25,0.03476,1.20789,0.87669,0.6157,0.7988,0.75625,0.7359,0.20776,0.96171,1.12526,0.000397,0.000397,0.000397
99,9817.18,0.0325,1.20361,0.88571,0.61928,0.79894,0.75748,0.73755,0.20627,0.95962,1.12325,0.000298,0.000298,0.000298
100,9916.86,0.03306,1.19698,0.87862,0.62202,0.79858,0.75875,0.74021,0.2049,0.9576,1.12173,0.000199,0.000199,0.000199
